,Standing screen display size,Max Screen Resolution,Processor,RAM,Memory Speed,Hard Drive,Graphics Coprocessor,Chipset Brand,Card Description,Wireless Type,Number of USB 2.0 Ports,Number of USB 3.0 Ports,Average Battery Life (in hours),Price,Brand,Series,Item model number,Operating System,Item Weight,Product Dimensions,Item Dimensions  LxWxH,Color,Processor Brand,Processor Count,Computer Memory Type,Flash Memory Size,Hard Drive Interface,Optical Drive Type,Power Source,Batteries,Screen Resolution,Hardware Platform,Hard Drive Rotational Speed,Graphics Card Ram Size,Rear Webcam Resolution,Voltage,Package Dimensions,National Stock Number,Manufacturer,ASIN,Date First Available
1040,13.3 Inches,1920 x 1080 Pixels,2.6 GHz pentium_j4205,6 GB LPDDR4,2.6 GHz,512 GB flash_memory_solid_state,ATI,Intel,Integrated,"Bluetooth, 802.11a",,3,8 Hours,429.99,AWOW,VT13,VT13,Windows 10 Pro,4.95 pounds,14.41 x 12.44 x 2.48 inches,14.41 x 12.44 x 2.48 inches,Grey,Intel,4,DDR4 SDRAM,512,USB,BD-R,Battery Powered,1 Lithium Metal batteries required. (included),,PC,,,,12 Volts,,,,,
1041,15.6 Inches,1920 x 1080 Pixels,4.4 GHz ryzen_7,32 GB,,1 TB SSD,GeForce RTX 3050 Ti,NVIDIA,Dedicated,,,,,1699.99,Lenovo,Lenovo Legion,Legion 5,Windows 10,8.93 pounds,14.27 x 10.26 x 1.01 inches,14.27 x 10.26 x 1.01 inches,Phantom Blue,AMD,8,DDR4 SDRAM,,Solid State,,Battery Powered,1 Lithium Polymer batteries required. (included),,PC,,,,,,,,,
1042,15.6 Inches,1920 x 1080 Pixels,2.8 GHz core_i7,16 GB DDR4,,512 GB SSD,Integrated Intel® UHD Graphics,Intel,Integrated,Bluetooth,,,,1609.0,Lenovo,Lenovo ThinkPad T15 Gen 2,20W4002LUS,Windows 10 Pro,3.86 pounds,,,,Intel,4,DDR4 SDRAM,,PCIE x 4,,,,,PC,,,,,19 x 13 x 3 inches,,,,
1043,15.6 Inches,1920 x 1080 Pixels,4.6 GHz ryzen_9,32 GB,4.6 GHz,1 TB SSD,AMD Radeon RX 6800M,AMD,,"Bluetooth, Infrared",,,,2309.99,ASUS,ASUS Rog Strix,ROG Strix G15,Windows 10,5.29 pounds,13.94 x 10.2 x 1.07 inches,13.94 x 10.2 x 1.07 inches,Black,AMD,8,DDR4 SDRAM,2 TB,Solid State,,,1 Lithium ion batteries required. (included),,PC,,,,,,,,,
1044,13.3 Inches,1920 x 1080 Pixels,2.6 GHz pentium_j4205,6 GB LPDDR4,2.6 GHz,512 GB flash_memory_solid_state,ATI,Intel,Integrated,"Bluetooth, 802.11a",,3,8 Hours,429.99,AWOW,VT13,VT13,Windows 10 Pro,4.95 pounds,14.41 x 12.44 x 2.48 inches,14.41 x 12.44 x 2.48 inches,Grey,Intel,4,DDR4 SDRAM,512,USB,BD-R,Battery Powered,1 Lithium Metal batteries required. (included),,PC,,,,12 Volts,,,,,
1045,15.6 Inches,1920 x 1080 Pixels,4.4 GHz ryzen_7,32 GB,,1 TB SSD,GeForce RTX 3050 Ti,NVIDIA,Dedicated,,,,,1699.99,Lenovo,Lenovo Legion,Legion 5,Windows 10,8.93 pounds,14.27 x 10.26 x 1.01 inches,14.27 x 10.26 x 1.01 inches,Phantom Blue,AMD,8,DDR4 SDRAM,,Solid State,,Battery Powered,1 Lithium Polymer batteries required. (included),,PC,,,,,,,,,
1046,7 Inches,,1.5 GHz celeron,8 GB LPDDR3,,128 GB,Intel HD Graphics 615,Intel,Integrated,802.11a,,,"8.0, 6.0 Hours",730.0,6 Goodlife623,GPD Pocket 2,,Windows 10,1.06 pounds,,,GPD Pocket 2(Amber Black),Intel,4,DDR3 SDRAM,128 GB,ATA,,Battery Powered,1 Lithium ion batteries required. (included),,PC,,,,5 Volts,9.17 x 6.46 x 2.13 inches,,,,
1047,14.1 Inches,,1.44 GHz intel_core_i9,4 GB DDR3,,1 TB mechanical_hard_drive,,Intel,,Bluetooth,,,,199.99,Thomson,,WWNEO14A4PK64-P,Windows 10 Home,3.88 pounds,,,Pink,Intel,4,,64 GB,USB,,,1 Lithium ion batteries required. (included),,PC,,,,,13.62 x 9.49 x 2.8 inches,,,,
1048,14 Inches,1920x1080,1.8 GHz amd_a6,4 GB SDRAM,,64 GB SSD,Integrated AMD Radeon Graphics,AMD,Integrated,802.11ac,,2,10 Hours,332.88,Lenovo,Lenovo-14,Lenovo Ideapad,Windows 10,3.39 pounds,12.91 x 8.85 x 0.69 inches,12.91 x 8.85 x 0.69 inches,Black,AMD,2,DDR4 SDRAM,64,Solid State,No Optical Drive,AC & Battery,1 Lithium Polymer batteries required.,1920x1080,PC,,2 MB,,,,,,,
1049,11.6 Inches,1366 x 768 Pixels,2.48 GHz celeron,4 GB LPDDR3,2.48 GHz,16 GB Hybrid,Intel HD Graphics,Intel,Integrated,Bluetooth,,,"11.0, 10.0 Hours",239.0,Samsung Electronics,Samsung,samsung_chromebook 3,Chrome OS,2.6 pounds,11.4 x 8 x 0.7 inches,11.4 x 8 x 0.7 inches,Gray,Intel,2,SDRAM,16 GB,Fibre Channel,,Battery Powered,,,PC,,,,,,,,,
1050,17.3 Inches,1920 x 1080 Pixels,2.4 GHz core_i5_family,12 GB DDR4,,1 TB Hybrid,Intel Iris Xe Graphics,Intel,,802.11ac,,,,819.99,HP,HP,HP,Windows 10,4.86 pounds,15.78 x 10.15 x 0.78 inches,15.78 x 10.15 x 0.78 inches,Silver,Intel,4,DDR4 SDRAM,,ATA,,Battery Powered,,,PC,5400 RPM,,,,,,,,
1051,15.6 Inches,1920 x 1080 Pixels,3 hertz celeron_n4000,8 GB DDR4,4.1 GHz,256 GB SSD,Intel UHD Graphics,,,801.11ac,1,2,,479.99,Dell,Dell,Inspiron 15,Windows 10 Home,6 pounds,14.33 x 9.8 x 0.78 inches,14.33 x 9.8 x 0.78 inches,Carbon Black,ARM,2,DDR4 SDRAM,256 GB,Solid State,,AC & Battery,,1920x1080,PC,,,,,,,,,
1052,11.6 Inches,1366 x 768 Pixels,1.1 GHz celeron,4 GB LPDDR4,2.8 GHz,32 GB SSD,Integrated Intel UHD Graphics 600,Intel,,"802.11a/b/g/n/ac, Bluetooth",,4,,189.99,Acer,Chromebook,311,Chrome OS,2.43 pounds,11.7 x 7.8 x 0.71 inches,11.7 x 7.8 x 0.71 inches,Ash Gray,Intel,2,DDR4 SDRAM,32 GB,Solid State,,AC & Battery,,1366x768,PC,,,,,,,,,
1053,17.3 Inches,1920x1080 Pixels,2.6 GHz core_i7,16 GB DDR4,2666 MHz,512 GB NVMe,NVIDIA® GeForce RTX™ 2060,,Dedicated,Bluetooth,,,,1699.99,MSI,GE75 Raider,GE75008,Windows 10,5.73 pounds,14.17 x 10.43 x 0.91 inches,14.17 x 10.43 x 0.91 inches,Black,Intel,6,DDR4 SDRAM,512 GB,PCIE x 16,,Battery Powered,1 Lithium Metal batteries required.,,PC,5400 RPM,,,,,,,,
1054,14 Inches,1366 x 768 Pixels,2.6 GHz amd_r_series,16 GB DDR4,3.5 GHz,512 GB SSD,AMD Radeon Graphics,AMD,,"Bluetooth, 802.11a",,,"10.0, 6.0 Hours",679.99,HP,,14-fq0032ms,Windows 10 Home,4.64 pounds,19 x 14 x 2 inches,19 x 14 x 2 inches,,AMD,2,DDR4 SDRAM,512 GB,Solid State,,Battery Powered,,,PC,,,,,,,,,
1055,17.3 Inches,1920 X 1080 Pixels,2.1 GHz amd_r_series,16 GB,,512 GB SSD,AMD Radeon Graphics,AMD,,Bluetooth,,,,829.99,HP,Hp laptop,P0013D,Windows 10,4.55 pounds,15.78 x 10.15 x 0.81 inches,15.78 x 10.15 x 0.81 inches,Silver,AMD,6,DDR4 SDRAM,512 GB,PCIE x 4,,,,,PC,,,,,,,,,
1056,13.3 Inches,1920 x 1080 Pixels,2.6 hertz pentium_j4205,6 GB LPDDR4,2.6 GHz,512 GB SSD,Intel,Intel,Integrated,Bluetooth,,,8 Hours,449.99,AWOW,,VT13,Windows 10 Pro,4.99 pounds,,,,Intel,4,DDR SDRAM,512 GB,Solid State,,Battery Powered,,,PC,,,,12 Volts,14.25 x 12.32 x 2.4 inches,,,,
1057,15.6 Inches,1920 x 1080 Pixels,4.2 GHz ryzen_7_4800h,32 GB,,1 TB SSD,GeForce RTX 2060 6GB GDDR6,,Dedicated,Bluetooth,,,,1519.99,Lenovo,Lenovo Legion 5,Lenovo Legion 5,Windows 10 Home,5.42 pounds,0.98 x 14.29 x 10.22 inches,0.98 x 14.29 x 10.22 inches,Phantom Black,AMD,8,DDR4 SDRAM,32 GB,Solid State,,Battery Powered,1 Lithium ion batteries required. (included),,PC,,,,,,,,,
1058,14 Inches,1920 x 1080 Pixels,1.6 GHz apple_ci5,8 GB,,256 GB SSD,8th Generation Intel Core i5-8265U,Intel,Integrated,802.11ac,,,,449.0,HP,HP Notebook,14-cf1090ca,,4.53 pounds,8.89 x 12.76 x 0.78 inches,8.89 x 12.76 x 0.78 inches,,Intel,4,DIMM,256,Solid State,,Battery Powered,1 Lithium ion batteries required. (included),,Hedwig 18C2,,,,,,,,,
1059,15.6 Inches,3840 x 2160,2.8 GHz core_i7,16 GB DDR4,2.8 GHz,1 TB flash_memory_solid_state,Intel Iris Xe Max Graphics,Intel,Integrated,Bluetooth,,,,1528.98,Dell,Inspiron 7506-BLK,,Windows 10 Home,4.2 pounds,9.39 x 14.02 x 0.65 inches,9.39 x 14.02 x 0.65 inches,Black,Intel,4,DDR4 SDRAM,,USB 3.2,No Optical Drive,Battery Powered,,3840 x 2160,PC,,,,,,,,,
1060,15.6 Inches,1920 x 1080 Pixels,2.6 GHz core_i7,32 GB DDR4,,512 GB SSD,NVIDIA® GeForce® GTX 1660 Ti 6GB GDDR6,Intel,Dedicated,802.11ac,2,1,,1299.0,Dell,G5,5500,Windows 10,5.2 pounds,10 x 14.4 x 0.85 inches,10 x 14.4 x 0.85 inches,Black,Intel,6,DDR4 SDRAM,32,PCIE x 4,No Optical Drive,Battery Powered,,,PC,,,,,,,,,
1061,11.6 Inches,1366 x 768,1.8 GHz amd_a_series,4 GB SDRAM,2.7 GHz,128 GB ssd,AMD Radeon R5,AMD,,802.11bgn,,,7 Hours,359.0,Dell,Ideapad S340,DELL,Windows 10,3.22 pounds,11.48 x 7.95 x 0.82 inches,11.48 x 7.95 x 0.82 inches,Grey,AMD,2,DDR4 SDRAM,128 GB,Solid State,,AC & Battery,1 Lithium ion batteries required. (included),1366 x 768,PC,,,1.2 MP,,,,,,
1062,11.6 Inches,1366 x 768 Pixels,1.1 GHz celeron,4 GB DDR2,,32 GB SSD,Intel HD Graphics 500,Intel,Integrated,802.11ac,,,,270.0,HP,HP,HP-11,Chrome OS,4 pounds,11.6 x 8.2 x 0.7 inches,11.6 x 8.2 x 0.7 inches,Ash Gray,Intel,2,DDR2 SDRAM,32 GB,Solid State,,AC & Battery,,1366 x 768,PC,,,,,,,,,
1063,13.4 Inches,1920 x 1200 Pixels,4.8 GHz core_i7_family,24 GB,,1024 GB SSD,Intel Iris Xe Graphics,Intel,,Bluetooth,,,,1634.99,Dell,XPS 9310,XPS 9310,Windows 10 Home,2.8 pounds,7.82 x 11.64 x 0.58 inches,7.82 x 11.64 x 0.58 inches,Platinum Silver with Black Palmrest,Intel,4,DDR4 SDRAM,1 TB,Solid State,,Battery Powered,1 Lithium ion batteries required. (included),,PC,,,,,,,,,
1064,15.6 Inches,1920 x 1080,1.6 GHz core_i5_family,16 GB SO-DIMM,2400 MHz,512 GB SSD,Intel UHD Graphics,,,Bluetooth,,,5 Hours,1159.99,Lenovo,ThinkPad,E15,Windows 10,4.3 pounds,9.6 x 14.5 x 0.7 inches,9.6 x 14.5 x 0.7 inches,Black,Intel,4,SODIMM,512 GB,Solid State,,AC & Battery,1 Lithium ion batteries required. (included),1920x1080,PC,,,,,,,,,
1065,15.6 Inches,1920 x 1080 Pixels,4.2 GHz ryzen_7_4800h,32 GB,,512 GB SSD,GeForce RTX 2060 6GB GDDR6,NVIDIA,Dedicated,Bluetooth,,,,1419.99,Lenovo,Lenovo Legion 5,Lenovo Legion 5,Windows 10 Home,5.42 pounds,0.98 x 14.29 x 10.22 inches,0.98 x 14.29 x 10.22 inches,Phantom Black,AMD,8,DDR4 SDRAM,512 GB,Solid State,,Battery Powered,1 Lithium ion batteries required.,,PC,,,,,,,,,
1066,14 Inches,1920x1080 Pixels,1.1 GHz intel_core_m,4 GB LPDDR3,3.4 GHz,128 GB SSD,Intel HD Graphics 615,Intel,Integrated,802.11a,,,,446.0,ASUS,ASUS ImagineBook,ASUS ImagineBook,Windows 10,3.55 pounds,13.2 x 8.9 x 0.7 inches,13.2 x 8.9 x 0.7 inches,White,Intel,2,DDR3 SDRAM,128 GB,Serial ATA,,AC & Battery,1 Lithium Polymer batteries required. (included),1920x1080,PC,,,,,,,,,
1067,14 Inches,1920 x 1080,3.9 GHz core_i7,12 GB DDR4,,512 gb ssd,,Intel,Integrated,802.11ax,,2,,928.05,Dell,I5400-7128GRY-PUS,i5400-7128GRY-PUS,Windows 10 Home,4.89 pounds,12.77 x 8.78 x 0.74 inches,12.77 x 8.78 x 0.74 inches,Grey,Intel,4,DDR4 SDRAM,512,Solid State,No Optical Drive,,1 Lithium ion batteries required. (included),,Windows,,12 GB,,,,,,,
1068,14 Inches,1920 x 1080 Pixels,2.1 GHz core_i3_family,4 GB DDR4,,500 GB Mechanical Hard Drive,Intel UHD Graphics,Intel,UHD Graphics,"Bluetooth, 802.11ac",,,,591.97,Lenovo,ThinkPad E14,20RA0051US,Windows 10 Pro,3.73 pounds,9.1 x 12.8 x 0.74 inches,9.1 x 12.8 x 0.74 inches,Black,Intel,1,DDR4 SDRAM,,Serial ATA,No,,1 Lithium ion batteries required.,1920 x 1080 pixels,PC,,,,,,,,,
1069,15.6 Inches,1920 x 1080 Pixels,4.6 GHz ryzen_9,16 GB,4.6 GHz,1 TB SSD,NVIDIA GeForce RTX 3060,,Dedicated,Bluetooth,,,,1779.66,ASUS,ASUS Rog Strix,ROG Strix G15,Windows 10,5.07 pounds,,,Gray,AMD,8,DDR4 SDRAM,1 TB,Solid State,,,4 Lithium ion batteries required.,,PC,,,,,18.82 x 13.15 x 4.45 inches,,,,
1070,17.3 Inches,1920 x 1080 Pixels,2.4 GHz core_i5,16 GB,,1 TB SSD,Intel Iris Xe Graphics,Intel,,,,,,1099.0,HP,,Envy,Windows 10,6.02 pounds,15 x 1 x 10 inches,15 x 1 x 10 inches,Silver,Intel,4,DDR4 SDRAM,,PCIE x 4,,,,,PC,,,,,,,,,
1071,15.6 Inches,1366 x 768 Pixels,1.1 GHz celeron,4 GB LPDDR4,2400 MHz,32 GB SSD,Intel UHD Graphics 600,Intel,,802.11ac,,,12 Hours,279.0,Acer,Acer 315 chromebook,acer 315 chromebook,Chrome OS,4.19 pounds,14.4 x 9.9 x 0.8 inches,14.4 x 9.9 x 0.8 inches,Silver,Intel,2,GDDR4,32 GB,Solid State,,AC & Battery,,1360x768,PC,,,,,,,,,
1072,15.6 Inches,1920 x 1080 Pixels,1.8 GHz amd_r_series,64 GB DDR4,1.8 GHz,2 TB SSD,AMD Radeon Graphics,AMD,,Bluetooth,,,,1379.0,HP,HP Pavilion,Pavilion,Windows 10,3.86 pounds,14.18 x 0.7 x 9.21 inches,14.18 x 0.7 x 9.21 inches,Silver,AMD,8,DDR4 SDRAM,,PCIE x 4,,Battery Powered,,,PC,,,,,,,,,
1073,15.6 Inches,1920X1200 Pixels,4 GHz ryzen_5_4500u,8 GB,2.3 GHz,512 GB,AMD Radeon™ Graphics,AMD,Integrated,"Bluetooth, 802.11ax",2,,,799.0,ASUS,ASUS VivoBook,S513IA-DB51,Windows 10 Home,3.97 pounds,14.2 x 9.3 x 0.73 inches,14.2 x 9.3 x 0.73 inches,Indie Black,AMD,6,DDR4 SDRAM,512,USB 3.2,,,1 Lithium ion batteries required. (included),1920 x 1080,,,,,,,,,,
1074,13.3 Inches,1920 x 1080,1.6 GHz core_i5,8 GB,1.6 GHz,128 GB SSD,Integrated Intel Graphics,Intel,Integrated,802.11ac,2,1,,972.36,Dell,Latitude,3310,Windows 10 Home,3.4 pounds,8.9 x 12.6 x 0.77 inches,8.9 x 12.6 x 0.77 inches,,Intel,4,DDR4 SDRAM,512,Unknown,,Battery Powered,1 Lithium Polymer batteries required. (included),1920 x 1080,Windows,,,,,,,,,
1075,15.6 Inches,1920x1080 Pixels,1.8 GHz 1_2GHz_Cortex_A8,8 GB SO-DIMM DDR4,2666 MHz,512 GB ssd,Intel UHD Graphics 620,Intel,Integrated,802.11ac,1,1,,1049.99,Lenovo,ThinkPad E15 Business Laptop,ThinkPad E15,Windows 10 Pro,4.3 pounds,14.48 x 9.64 x 0.74 inches,14.48 x 9.64 x 0.74 inches,Black,Intel,4,DDR4 SDRAM,16,Solid State,BD-R,AC & Battery,1 Lithium ion batteries required. (included),1920x1080,PC,,,,,,,,,
1076,15.6 Inches,1920 x 1080 MP,2.4 GHz apple_ci5,12 GB DDR4,,256 GB SSD,Intel,Intel,Integrated,Bluetooth,,,,634.0,HP,Dell Precision,HP 15-dy205,Windows 10 Home,4.84 pounds,,,,Intel,4,DDR DRAM,256 GB,Solid State,,Battery Powered,1 Lithium Polymer batteries required. (included),,PC,,,,,19 x 12 x 2.5 inches,,,,
1077,17.3 Inches,1920x1080 Pixels,4.2 GHz ryzen_7_4800h,16 GB DDR4,3200 MHz,1 TB SSD,NVIDIA GeForce GTX 1660 Ti 6GB GDDR6,NVIDIA,Dedicated,Bluetooth,,,5 Hours,1369.99,Lenovo,Legion 5,Legion 5,Windows 10 Home,6.57 pounds,11.41 x 15.7 x 0.95 inches,11.41 x 15.7 x 0.95 inches,Phantom Black,AMD,8,DDR4 SDRAM,,Solid State,,Battery Powered,1 Lithium ion batteries required. (included),,PC,,,,,,,,,
1078,15.6 Inches,1920x1080,2.1 GHz amd_r_series,8 GB DIMM,4.1 GHz,512 GB PCIe SSD,AMD Radeon RX Vega 8,AMD,,Bluetooth,,,,767.0,Lenovo,Ideapad,3,Windows 10 Pro,4.07 pounds,20 x 12 x 3 inches,20 x 12 x 3 inches,,AMD,4,DDR4 SDRAM,,PCIE x 4,,Battery Powered,,1920x1080,PC,,,,,,,,,
1079,15.6 Inches,1920 x 1080 Pixels,4 GHz ryzen_5,16 GB,,512 GB SSD,AMD Radeon Graphics,AMD,,"Bluetooth, 802.11a",,,,669.0,HP,HP 15,HP 15,Windows 10 Home,3.75 pounds,14.11 x 9.53 x 0.71 inches,14.11 x 9.53 x 0.71 inches,Silver,AMD,6,DDR4 SDRAM,512 GB,Solid State,,"Corded Electric, Battery Powered",1 Lithium ion batteries required. (included),,PC,,,,,,,,,
1080,14 Inches,,celeron,4 GB DDR3,1.6 GHz,emmc,Intel HD Graphics 400,Intel,Integrated,802.11ac,,,,308.88,HP,HP Stream,HP-Stream-14-4GB-32GB,Windows 10 Home,3.8 pounds,13.6 x 9.51 x 0.94 inches,13.6 x 9.51 x 0.94 inches,,Intel,2,SDRAM,32 GB,,,,2 C batteries required.,,Windows,,,,,,,,,
1081,14 Inches,1920 x 1080 Pixels,,8 GB,,,,AMD,,Bluetooth,,,,879.0,MICROTELLA,,,Windows 10 Pro,3.52 pounds,,,,,6,,,,,,,,,,,,,17.44 x 11.97 x 3.07 inches,,,,
1082,13.3 Inches,1920 x 1080,2.8 GHz core_i7,16 GB DDR4,3200 MHz,512 GB ssd,Integrated Intel® Iris® Xe Graphics,Intel,Integrated,Bluetooth,2,2,,1784.99,Lenovo,20VK0019US,20VK0019US,Windows 10 Pro,4.4 pounds,,,,Intel,4,DDR4 SDRAM,512,Solid State,BD-R,Battery Powered,1 Lithium ion batteries required. (included),1920 x 1080,PC,,,,,16.6 x 11.3 x 3 inches,,,,
1083,14 Inches,1920 x 1080 Pixels,1.8 GHz apple_ci7,8 GB DDR4,,Flash Memory Solid State,Intel UHD Graphics 620,Intel,Integrated,"Bluetooth, 801.11ac",,,15 Hours,739.0,Lenovo,Ideapad S940,81R00004US,Windows 10,3.36 pounds,12.57 x 7.77 x 0.48 inches,12.57 x 7.77 x 0.48 inches,Iron Grey,Intel,1,Unknown,,PCIE x 4,No Optical Drive,Battery Powered,1 Lithium Polymer batteries required. (included),1920 x 1200,PC,7200 RPM,,,,,,,,
1084,15.6 Inches,1920 x 1080,2.4 GHz core_i7,64 GB DDR4,2666 MHz,2000 GB flash_memory_solid_state,NVIDIA GeForce RTX 3050 Ti,NVIDIA,Dedicated,802.11ax,,,,1759.99,Computer Upgrade King,,,Windows 10 Home,4.63 pounds,14.13 x 10.2 x 0.94 inches,14.13 x 10.2 x 0.94 inches,,Intel,8,DDR4 SDRAM,,Solid State,,,1 Lithium ion batteries required. (included),1920 x 1080,PC,,4.00,,,,,,,
1085,17.3 Inches,1920 x 1080 Pixels,2.4 GHz core_i5,64 GB DDR4,,1 TB SSD,Intel Iris Xe Graphics,Intel,,Bluetooth,,,,1369.0,HP,HP Envy,Envy,Windows 10,6.02 pounds,15 x 1 x 10 inches,15 x 1 x 10 inches,Silver,Intel,4,DDR4 SDRAM,,PCIE x 4,,Battery Powered,,,PC,,,,,,,,,
1086,17.3 Inches,3840 x 2160 Pixels,2.5 GHz core_i9,32 GB DDR4,3200 MHz,SSD,,NVIDIA,Dedicated,Bluetooth,,4,,3999.0,MSI,Creator 17 B11UH-236,Creator 17 B11UH-236,Windows 10 Pro,5.4 pounds,0.8 x 15.59 x 10.21 inches,0.8 x 15.59 x 10.21 inches,Core Black,Intel,8,,32,,No Optical Drive,,1 Lithium Polymer batteries required. (included),3840 x 2160 pixels,PC,,16 GB,,,,,,,
1087,14 Inches,1920 x 1080 Pixels,2.6 GHz ryzen_7_4700u,16 GB SDRAM,4.1 GHz,1 TB SSD,AMD Radeon Series,AMD,,Bluetooth,,,12 Hours,1207.99,ASUS,ZenBook 14 Ultra-Slim,ASUS,Windows 10,2.69 pounds,12.6 x 8.3 x 0.56 inches,12.6 x 8.3 x 0.56 inches,Grey,AMD,8,DDR4 SDRAM,1 TB,Solid State,,AC & Battery,1 Lithium Polymer batteries required. (included),1920 x 1080,PC,,,1.2 MP,,,,,,
1088,11.6 Inches,1366 x 768,1.6 GHz celeron_j3455,2 GB DDR3,1.8 GHz,32 GB flash_memory_solid_state,Intel HD Graphics,Intel,Integrated,Bluetooth,,,1 	years,269.99,Smart-US,A116,,Windows 10,2.86 pounds,,,Black,Intel,4,DDR3 SDRAM,64 GB,USB 3.0,,Battery Powered,,,PC,,,300 MP,,16.26 x 10.2 x 1.97 inches,,,,
1089,11.6 Inches,1366 x 768,1.2 GHz,4 GB,,,,AMD,,,,,,440.99,Lenovo,Lenovo 300e (2nd Gen),82GK001PUS,Windows 10 Pro,4 pounds,,,,AMD,2,DDR4 SDRAM,,,,Battery Powered,,1366 x 768,,,,,,17.56 x 9.84 x 2.6 inches,,,,
1090,15.6 Inches,1920 x 1080 Pixels,1.6 GHz apple_ci5,8 GB DDR4,,Flash Memory Solid State,Intel UHD Graphics 620,Intel,Integrated,,,,,1290.0,Dell,8FHHX,5510,Windows 10 Pro,3.3 pounds,9.3 x 14.14 x 0.88 inches,9.3 x 14.14 x 0.88 inches,,Intel,1,"SDRAM, DDR4 SDRAM",256,,No Optical Drive,,1 Lithium ion batteries required.,,PC,,,,,,,,,
1091,11.6 Inches,1366 x 768 Pixels,1.1 GHz celeron,4 GB LPDDR4,,Embedded MultiMediaCard,,Intel,Integrated,,,4,,264.95,HP,1A767UT#ABA,1A767UT#ABA,Chrome OS,3.2 pounds,11.61 x 8.08 x 0.82 inches,11.61 x 8.08 x 0.82 inches,Gray,Intel,1,DDR4 SDRAM,4,,No Optical Drive,,1 Lithium Polymer batteries required. (included),1366 x 768,PC,,,,,,,,,
1092,17.3 Inches,1600x900,1.6 GHz core_i5_family,8 GB DDR3,2133 MHz,2 TB HDD 5400 rpm,Intel HD Graphics 620,Intel,Integrated,802.11bgn,1,1,5 Hours,799.0,HP,HP 17,hp 17,Windows 10,5.29 pounds,15.34 x 10.94 x 0.97 inches,15.34 x 10.94 x 0.97 inches,Blue,Intel,2,DDR4 SDRAM,,Serial ATA,DVD+W,Battery Powered,1 Lithium Polymer batteries required.,1600x900,PC,5400 RPM,2 MB,,,,,,,
1093,15.6 Inches,1920 x 1080 Pixels,4.1 GHz amd_r_series,8 GB,,512 GB SSD,AMD Radeon Graphics,AMD,,,,,,795.0,HP,Pavilion,Pavilion,Windows 10,3.75 pounds,14.11 x 9.5 x 0.78 inches,14.11 x 9.5 x 0.78 inches,Natural Silver,AMD,8,DDR4 SDRAM,,PCIE x 4,,,,,PC,,,,,,,,,
1094,13.3 Inches,2560 x 1600 Pixels,3.2 GHz 210,16 GB,,256 GB SSD,M1,,,,,,,1459.93,Apple,MacBook Pro,Z11B000E3,MacOS 11,6.7 pounds,15 x 11.5 x 4.1 inches,15 x 11.5 x 4.1 inches,,Apple,8,DDR4 SDRAM,256 GB,Solid State,,Battery Powered,,,Mac,,,,,,,,,
1095,15.6 Inches,1366 x 768,3 GHz core_i3,8 GB SO-DIMM,4.1 GHz,256 GB flash_memory_solid_state,Intel UHD Graphics,Intel,Integrated,Bluetooth,,,,546.0,HP,15-dy HD,HP 15-dy HD,Windows 10 Home,3.75 pounds,9.53 x 14.11 x 0.71 inches,9.53 x 14.11 x 0.71 inches,,Intel,2,DDR4 SDRAM,,USB 3.1,No Optical Drive,Battery Powered,,1366x768,PC,,,,,,,,,
1096,15.6,3840 x 2160,5 GHz Intel_Mobile_CPU,32 GB DDR4,,1.5 TB SSD,,NVIDIA,Dedicated,5 GHz Radio Frequency,,3,,2699.0,GIGABYTE,AERO 15 OLED YD-94US648SP,AERO 15 OLED YD-93US648SP,Win 10 Pro,10.05 pounds,9.8 x 14 x 0.78 inches,9.8 x 14 x 0.78 inches,Black,Intel,8,,,Solid State,No Optical Drive,Battery Powered,1 Lithium Polymer batteries required. (included),,PC,,8 GB,,,,,,,
1097,14 Inches,1920x1080 Pixels,4.6 GHz core_i7,8 GB DDR4,2666 MHz,256 GB flash memory solid state,Intel HD Graphics 620,Intel,Integrated,,1,2,,988.99,Dell,Dell Inspiron,i5482-7069SLV-PUS,Windows 10 Home,3.88 pounds,0.79 x 9.17 x 12.91 inches,0.79 x 9.17 x 12.91 inches,Silver,Intel,1,DDR4 SDRAM,256,Solid State,,,1 Lithium Polymer batteries required. (included),,Windows,256,8 GB,,,,,,,
1098,11.6 Inches,1366 x 768 Pixels,2 GHz mediatek_mt8183,4 GB LPDDR4,,64 GB SSD,MediaTek,MediaTek,Integrated,"Bluetooth, 802.11a",,,15 Hours,239.0,HP,,Chromebook,Windows 10 S,3.83 pounds,11.22 x 7.59 x 0.66 inches,11.22 x 7.59 x 0.66 inches,Blue,Mediatek,8,DDR4 SDRAM,64 GB,Solid State,,Battery Powered,,,PC,,,,,,,,,
1099,15.6 Inches,1920 x 1080,2.6 GHz core_i7,8 GB SO-DIMM,2.6 GHz,512 GB flash_memory_solid_state,GeForce GTX 1650 Ti,NVIDIA,Dedicated,Bluetooth,,,,1032.98,ASUS,ROG Strix G15 G512LI,G512LI-BI7N10,Windows 10 Home,9 pounds,18 x 13 x 4 inches,18 x 13 x 4 inches,,Intel,6,DDR4 SDRAM,,USB 3.2,No Optical Drive,Battery Powered,,1920 x 1080,PC,,,,,,,,,
